EDUCATION & SKILLS,TRUANCY,E&S1.0,"Persistent truancy - total fiscal cost of persistent truancy (missing at least five weeks of school per year), per individual per effective year",Multiple,,Per person per year,1509,2005/06," £1,832 ",Misspent Youth (2007),A,"Note age of data.   Data expressed in 2005 figures in 2007 report. Caveat wide range of values depending on case, e.g. no average child truant. Assumes truancy of individual during an 11 year period which child spends at school.  The source also details the cost of truancy related to lost earnings, at £842 per effective year (non-updated price, drawn from the lifetime figure quoted in Misspent Youth, based on a 40-year working life); as an economic cost to the individual, rather than a fiscal cost to the public purse, this is not included in the total quoted here.  Note comments on constituent costs below, which explain how the cost per effective year has been calculated.",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,TRUANCY,E&S1.0.1,"Persistent truancy (missing at least five weeks of school per year) - provision of alternative education, per individual per effective year (see comments)",Local Authority,,Per person per year,706,2005/06, £857 ,Misspent Youth (2007),A,Note age of data.   Assumes that the cost to the education welfare system is only felt over two years when the child is 11 and 12. Per annum figure cited in NPC report.,http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,TRUANCY,E&S1.0.2,"Persistent truancy (missing at least five weeks of school per year) - health, per individual per effective year (see comments)",NHS,,Per person per year,52,2005/06, £63 ,Misspent Youth (2007),A,"Note age of data.   per year figure is based on BMJ study 18 years costs, i.e. the total effective lifetime figure divided by 16. ",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,TRUANCY,E&S1.0.3,"Persistent truancy (missing at least five weeks of school per year) - crime, per individual per effective year (see comments)",Police,,Per person per year,423.5,2005/06, £514 ,Misspent Youth (2007),A,"Note age of data.  Per effective year figure is based on BMJ study 18 years costs, i.e. the total effective lifetime figure divided by 16. ",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,TRUANCY,E&S1.0.4,"Persistent truancy (missing at least five weeks of school per year) - Social Services, per individual per effective year (see comments)",Local Authority,,Per person per year,327.8333333333,2005/06, £398 ,Misspent Youth (2007),A,"Note age of data.  GM CBA model social costs covered elsewhere so figure excluded from truancy cost line.   Data here takes the cost of residential and foster care from the BMJ study. As for health and crime costs, we take the group with conduct problems as a proxy for truants. This totalled an extra £1,967 between the ages of 10 and 16 in 2005 prices.",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,EXCLUSION,E&S2.0,"Permanent exclusion from school - total fiscal cost of permanent exclusion from school, per individual per effective year",Multiple,,Per person per year,9219,2005/06," £11,192 ",Misspent Youth (2007),A,"Note age of data.   Data expressed in 2005 figures in 2007 report. Caveat wide range of values depending on case, e.g. no average child excluded.  The source also details the cost of permanent exclusion related to lost earnings, at £529 per effective year (non-updated price, drawn from the lifetime figure quoted in Misspent Youth, based on a 40-year working life); as an economic cost to the individual, rather than a fiscal cost to the public purse, this is not included in the total quoted here.  Note comments on constituent costs below, which explain how the cost per effective year has been calculated.",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,EXCLUSION,E&S2.0.1,"Permanent exclusion from school - provision of alternative education (e.g. in a pupil referral unit), per individual per effective year (see comments)",Local Authority,,Per person per year,7181,2005/06," £8,718 ",Misspent Youth (2007),A,Note age of data.   Assumes that the cost to the education welfare system is only felt over two years when the child is 11 and 12. Per annum figure cited in NPC report.,http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,EXCLUSION,E&S2.0.2,"Permanent exclusion from school - health, per individual per effective year (see comments)",NHS,,Per person per year,63.6875,2005/06, £77 ,Misspent Youth (2007),A,"Note age of data.  Per effective year figure is based on BMJ study, 18 years costs, i.e. the total effective lifetime figure divided by 16. ",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,EXCLUSION,E&S2.0.3,"Permanent exclusion from school - crime, per individual per effective year (see comments)",Police,,Per person per year,970.4375,2005/06," £1,178 ",Misspent Youth (2007),A,"Note age of data.  Per effective year figure is based on BMJ study 18 years costs, i.e. the total effective lifetime figure divided by 16. ",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,EXCLUSION,E&S2.0.4,"Permanent exclusion from school - Social Services, per individual per effective year (see comments)",Local Authority,,Per person per year,1003.5,2005/06," £1,218 ",Misspent Youth (2007),A,"Note age of data.  Per effective year figure is based on BMJ study 18 years costs, i.e. the total effective lifetime figure divided by 16. ",http://www.thinknpc.org/publications/misspent-youth/
EDUCATION & SKILLS,SCHOOL READINESS,E&S3.0,School readiness - fiscal savings associated with improved school readiness on entry to reception year (age 4-5),Schools,Department for Education,Per person per year,1000,2012/13," £1,023 ",Derived from DfE (2013): Illustrative Examples: Constructing the Notional SEN Budget for a Mainstream School or Academy,A,"This is an estimated value for the annual fiscal savings derived by schools as a result of entrants to reception year (at age 4-5) achieving a 'good' level of development at the Early Years Foundation Stage.  The cost is based on Department for Education illustrative examples for calculating school budgets, and is premised on the link between increased school readiness and a reduction in the cost of special education needs provision.  However, as funding mechanisms for schools are based on local funding arrangements and the way that Local Authorities allocate Dedicated Schools Grant (DSG) funding, the actual fiscal benefit will depend upon local arrangements.  There will also be longer-term economic impacts for individual children who have an improved education.  An amber flag has been allocated to reflect the potential variance in the quoted cost.",http://media.education.gov.uk/assets/files/doc/i/illustrative examples.doc
EDUCATION & SKILLS,PROGRAMMES,E&S4.0,"School-based emotional learning programme - cost of delivery, per child per year",Schools,Department for Education,Per child per year,132,2009/10, £144 ,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9",G,"This is the cost per child per year of delivering a school-based emotional learning programme (SEL), and includes the cost of teacher training, programme coordinator and materials.  SEL programmes are designed to help address conduct problems in childhood; such problems lead to significant longer-term costs relating to adverse outcomes such as increased risk of criminal activity, fewer school qualifications, parenthood at a young age, unemployment, divorce or separation, substance abuse, and psychiatric disorders.  The programmes help children and young people to recognise and manage emotions, set and achieve positive goals, appreciate the perspectives of others, establish and maintain positive relationships, make responsible decisions and handle interpersonal situations constructively.  Participants can demonstrate significantly improved social and emotional skills, attitudes, behaviour, and academic performance.  See the related subsidiary measure and constituent costs (below) for data on the fiscal savings estimated to be derived from delivery of SEL programmes.",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/147343/dh_126386.pdf.pdf
EDUCATION & SKILLS,PROGRAMMES,E&S4.1,"Total fiscal savings to the public sector from the delivery of school-based emotional learning programmes, per child over a 10 year period",Criminal Justice System,Prison,Per child over a ten year period,3206,2009/10," £3,494 ","Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10",G,"School-based emotional learning (SEL) programmes are designed to help address conduct problems in childhood; such problems lead to significant longer-term costs relating to adverse outcomes such as increased risk of criminal activity, fewer school qualifications, parenthood at a young age, unemployment, divorce or separation, substance abuse, and psychiatric disorders.  This measure represents the fiscal savings to public sector agencies derived from the delivery of SEL programmes - it is the average saving per child over a ten year period.  The research assumes that children receive the intervention aged ten years old, and start in one of three different conduct ‘health states’: no conduct problems, mild conduct problems or severe conduct problems.  The source gives a breakdown of potential savings over the ten year period, providing the following costs at different stages: year 1 (savings over the first year following delivery of the SEL programme), £83; year 5 (savings for years 1-5 after programme delivery), £2,038; year 10 (savings for years 1-10 after programme delivery), £3,206 (all at 2009-10 prices).  The average annual saving over the ten year period is £321.  Constituent costs for the individual agencies are given in the cost lines below.  As detailed in the source (see the Education and Skills section of this database), the costs of a representative intervention, including teacher training, programme coordinator and materials were estimated as £132 per child - put alongside these potential savings, it is evident that such programmes can offer good value for money, with the overall break-even point after the first year following the intervention, and the education sector breaking even after five years.  Note that the research did not model wider outcomes such as improved academic performance, or benefits accruing to parents, siblings or other peers.  In addition to the fiscal benefits, the source quotes wider (economic) benefits over ten years to non-public sector bodies/individuals as follows: victim costs (crime), £4,912; other crime costs, £2,038; voluntary sector, £8 (see p.10 of the source report for details of how these costs are distributed over the ten year period).",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/147343/dh_126386.pdf.pdf
