HEALTH,ALCOHOL,HE1.0,"Alcohol misuse - estimated annual cost to the NHS of alcohol dependency, per year per dependent drinker",NHS,Primary Care Trust / Clinical Commissioning Group,Per person per year,1800,2009/10," £1,962 ","Alcohol Use Disorders: diagnosis, assessment and management of harmful drinking and alcohol dependence (NICE Clinical Practice Guidance 115), p.408",A,"This includes the cost of hospital inpatient and day visits, outpatient visits, A&E and ambulance visits, primary care consultations and prescribed medications.  The cost is derived from data on higher risk drinkers, defined in the source as men who consume 50 or more drinks per week and women who consume 35 or more drinks per week.  The source also uses this cost as the annual cost of a relapse during treatment.  Note that no detail is given in the source on the constituent costs that make up the overall figure, hence the amber flag.",http://www.nice.org.uk/nicemedia/live/13337/53190/53190.pdf
HEALTH,ALCOHOL,HE1.1,"Alcohol services, mental health inpatients: specialist services - adult",NHS,Primary Care Trust / Clinical Commissioning Group,Per bed day,345,2011/12, £358 ,"National Schedule of Reference Costs Year, 2011-12: All NHS trusts and NHS foundation trusts - Other Currencies Data (currency code MHIPA2)",G,"This cost is taken from the NHS Reference Costs 2011-12 (NSRC01 2011-12 worksheet), and is provided under the 'Mental health inpatients: specialist services' section.  It represents the unit cost per bed day for adults.",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/127114/National-schedules.zip.zip
HEALTH,ALCOHOL,HE1.2,"Alcohol services, mental health inpatients: specialist services - children and adolescents",NHS,Primary Care Trust / Clinical Commissioning Group,Per bed day,138,2011/12, £143 ,"National Schedule of Reference Costs Year, 2011-12: All NHS trusts and NHS foundation trusts - Other Currencies Data (currency code MHIPC3)",A,"This cost is taken from the NHS Reference Costs 2011-12 (NSRC01 2011-12 worksheet), and is provided under the 'Mental health: community contacts' section.  It represents the unit cost per contact with community-based alcohol services provision for children and adolescents.  Note that it is based upon only one data submission (most of the costs in the NHS database are derived from an average of multiple data submissions), and is significantly lower than the related data for adults, hence the amber flag - the quoted cost should be used with caution.",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/127114/National-schedules.zip.zip
HEALTH,ALCOHOL,HE1.3,"Alcohol services, mental health outpatient attendances - adult",NHS,Primary Care Trust / Clinical Commissioning Group,Per attendance,71,2011/12, £74 ,"National Schedule of Reference Costs Year, 2011-12: All NHS trusts and NHS foundation trusts - Other Currencies Data (currency code MHOP02)",G,"This cost is taken from the NHS Reference Costs 2011-12 (NSRC01 2011-12 worksheet), and is provided under the 'Mental health: outpatient attendances' section.  It represents the unit cost per attendance for adults.",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/127114/National-schedules.zip.zip
HEALTH,ALCOHOL,HE1.4,"Drugs and alcohol, outpatient's attendance - consultant's services (adult)",NHS,Primary Care Trust / Clinical Commissioning Group,Per consultation,94,2011/12, £98 ,"Unit Costs of Health and Social Care 2012 (Curtis, 2012), p.47",G,"This is the cost of a face-to-face, adult follow-up appointment with a hospital consultant with regard to drug and alcohol issues.  It is derived from NHS Reference Costs.",http://www.pssru.ac.uk/project-pages/unit-costs/2012/index.php?file=full
HEALTH,ALCOHOL,HE1.5,"Alcohol services, community mental health provision - adult",NHS,Primary Care Trust / Clinical Commissioning Group,Per user,115,2011/12, £119 ,"National Schedule of Reference Costs Year, 2011-12: All NHS trusts and NHS foundation trusts - Other Currencies Data (currency code MHCOM02)",G,"This cost is taken from the NHS Reference Costs 2011-12 (NSRC01 2011-12 worksheet), and is provided under the 'Mental health: community contacts' section.  It represents the unit cost per contact with community-based alcohol services provision for adults.",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/127114/National-schedules.zip.zip
HEALTH,ALCOHOL,HE1.6,"Alcohol services, community mental health provision - children and adolescents",NHS,Primary Care Trust / Clinical Commissioning Group,Per user,317,2011/12, £329 ,"National Schedule of Reference Costs Year, 2011-12: All NHS trusts and NHS foundation trusts - Other Currencies Data (currency code MHCOM04)",G,"This cost is taken from the NHS Reference Costs 2011-12 (NSRC01 2011-12 worksheet), and is provided under the 'Mental health: community contacts' section.  It represents the unit cost per contact with community-based alcohol services provision for children and adolescents.",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/127114/National-schedules.zip.zip
HEALTH,ALCOHOL,HE1.7,Inpatient detoxification for people who misuse drugs or alcohol,NHS,Primary Care Trust / Clinical Commissioning Group,Per day,152,2012/13, £155 ,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.67",G,"Inpatient treatment for drug or alcohol abuse may involve one of more of the following interventions: assessment; stabilisation; and assisted withdrawal (detoxification).  Treatment is provided in either: general hospital psychiatric units; specialist drug misuse inpatient units in hospitals; and residential rehabilitation units.  This is an average cost per day across these different types of provision and setting; the source also quotes a weekly cost of £1,061 (2012-13 prices).  Data are based on salary costs (including on-costs), overheads (including drugs, pharmacy and dispensing costs, plus all other aspects of treatment and general overheads), and indirect costs and overheads (including capital charges, finance, transport, personnel, etc.).",http://www.pssru.ac.uk/project-pages/unit-costs/2013/index.php?file=full
HEALTH,ALCOHOL,HE1.8,Hospital rehabilitation for drug and alcohol addiction,NHS,Primary Care Trust / Clinical Commissioning Group,Per bed day,276,2011/12, £287 ,"National Schedule of Reference Costs Year, 2011-12: All NHS trusts and NHS foundation trusts - HRG Data (currency code VC26Z)",G,"This cost is taken from the NHS Reference Costs 2011-12, and is the average cost per hospital admission for rehabilitation services related to drug and alcohol addiction.  It represents an average of costs for the following types of rehabilitation: ‘complex specialised’ rehabilitation services (CSRS) (Level 1); ‘specialised’ rehabilitation services (SRS) (Level 2); and ‘non-specialist’ rehabilitation services (NSRS).  Specific costs for these types of rehabilitation provision are available in the source workbook (NSRC01 2011-12).",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/127114/National-schedules.zip.zip
HEALTH,ALCOHOL,HE1.9,Residential rehabilitation for people who misuse drugs or alcohol,NHS,Local authority,Per week,669,2012/13, £684 ,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.66",A,"Residential rehabilitation consists of a range of treatment delivery models or programmes to address drug and alcohol misuse, including abstinence orientated drug interventions within the context of residential accommodation.  This is an average unit cost per week for a structured drug or alcohol treatment/rehabilitation programme delivered in a residential setting.  The source does not provide detail of the constituent costs that make up the total quoted (nor the main delivery agencies), hence the amber flag.",http://www.pssru.ac.uk/project-pages/unit-costs/2013/index.php?file=full
