HOUSING,EVICTION,HO1.0,Average fiscal cost of a complex eviction,Local authority,RSL,Per incident,6680,2010/11," £7,095 ","Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6",A,"This is a scenario-based cost for complex eviction, and includes the on-going cost of providing temporary accommodation in the private rented sector whilst the homelessness application was progressing; in this scenario, the cost is based upon two weeks of temporary accommodation.  Note that costs following on from a successful homelessness application are not included - in such instances, there may be additional costs relating to extended stay in temporary accommodation and a new letting being made (see related costs in this section).  The source focuses on the fiscal costs resulting directly from the loss of a home and the immediate period leading up to this point.  Indirect costs that may accrue to the state in the future are not included, such as increased healthcare costs.  It is worth noting that these will be fiscal costs if they relate to evictions from local authority housing stock; however, if the stock belongs to a housing association or other Registered Provider, the costs that fall to that organisation are likely to be economic rather than fiscal (i.e. they do not fall directly to the public purse).  Wider economic and social costs are excluded - e.g. economic costs to private companies, individuals and organisations, and social costs to individuals and society around personal well-being, social cohesion, etc.  Data for the study were sourced from government, the Chartered Institute of Public Finance Accountants,  Shelter's local authority benchmarking service, and contributing local authorities.  An amber flag has been allocated to reflect local level variation, and the significant methodological and data issues associated with deriving unit costs relating to housing.",http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO1.0.1,Cost of writing off rent arrears,Local authority,RSL,Per incident,1900,2010/11," £2,018 ","Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6",A,"This is the average cost of rent arrears incurred by tenants in social housing at the point at which a possession hearing was heard, and which are therefore written off by the landlord.",http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO1.0.2,Administrative costs of eviction,Local authority,RSL,Per incident,1119,2010/11," £1,189 ","Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6",A,This comprises the administrative costs associated with an eviction;  it does not include the costs of preparing a property for re-letting.,http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO1.0.3,Cost of re-letting property post-eviction,Local authority,RSL,Per incident,2787,2010/11," £2,960 ","Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6",A,"This includes the administrative costs (e.g. advertising the vacancy, processing applications, and matching people to properties) and the financial costs (e.g. lost rental revenue, redecoration, repairs and security costs) incurred by a local authority in the process of re-letting a vacant home. ",http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO1.0.4,Cost of housing advice funded through the Legal Services Commission,Ministry of Justice,HM Treasury,Per session,174,2010/11, £185 ,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6",A,"In the scenario detailed in the Shelter report, this advice was provided by a local advice centre.",http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO1.0.5,Average cost of administering a decision on a homelessness application,Local authority,,Per application,375,2010/11, £398 ,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6",A,This  comprises the average cost to a local authority of administering a decision on a homelessness application.,http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO1.0.6,Ongoing cost of temporary accommodation (private rented sector) whilst homelessness decision made,Local authority,DWP,Per week,162.44,2010/11, £173 ,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6",A,"Note that this is an on-going cost relating to the provision of temporary accommodation in the private rented sector whilst the homelessness application was progressing.  The scenario for which the headline cost above relates (complex eviction) assumes that two weeks temporary accommodation will be required at a cost of £324.88 (£162.44 x 2).  Note that costs following on from a successful homelessness application are not included - following acceptance of an application, costs could arise from an extended stay in temporary accommodation and a new letting being made (see homelessness application costs below).",http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO2.0,Average fiscal cost of a simple repossession,Local authority,RSL,Per incident,690,2010/11, £733 ,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.5",A,"Note that this is the fiscal cost of a simple repossession as far as making a Local Housing Allowance (LHA) application; if this application is successful, ongoing LHA payments could be factored in.  However, note the potential for double-counting with wider benefit payments, if other outcomes are modelled for the same individual (e.g. the first order fiscal benefit from reduced benefit payments as a result of helping someone into employment includes an element for housing benefits).  The source focuses on the fiscal costs resulting directly from the loss of a home and the immediate period leading up to this point.  Indirect costs that may accrue to the state in the future are not included, such as increased healthcare costs.  Wider economic and social costs are also excluded - e.g. economic costs to private companies, individuals and organisations, and social costs to individuals and society around personal well-being, social cohesion, etc.  Data for the study were sourced from government, the Chartered Institute of Public Finance Accountants,  Shelter's local authority benchmarking service, and contributing local authorities.  An amber flag has been allocated to reflect local level variation, and the significant methodological and data issues associated with deriving unit costs relating to housing.",http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO2.0.1,Prevention of homelessness through a homelessness prevention or housing options scheme,Local authority,RSL,Per scheme,642,2010/11, £682 ,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.5",A,"This measure comprises the process costs associated with providing advice, support and assistance through a homelessness prevention or housing options scheme, and which results in homelessness being prevented or relieved (note that this does not preclude loss of the original home).",http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
HOUSING,EVICTION,HO2.0.2,Application for Local Housing Allowance,DWP,HM Treasury,Per application,48,2010/11, £51 ,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.5",A,This figure is an average of responses from a local authority consultation exercise undertaken by Shelter in 2011.,http://england.shelter.org.uk/__data/assets/pdf_file/0003/415596/Immediate_costs_to_government_of_losing_a_home.pdf
