SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.0,"Child taken into care - average cost across different types of care setting, England, per year",Local Authority,Social Services,Per year," £44,676 ",2011/12," £46,389 ",DfE Section 251 data on LAC cost and 901 return data on number of LAC,A,"This cost has been derived from Department for Education Section 251 budget data on expenditure on looked after children (LAC) in England in 2011-12 - the return gives mean per capita (0-17 years old) annual expenditure on LAC, from which total annual expenditure for England has been calculated using 0-17 population numbers quoted in an accompanying DfE workbook ('Pupil Numbers used in the Per Capita Benchmarking Table 2011-12').  Data on the number of LAC in England in March 2012 taken from the DfE 901 return were then used to calculate the unit cost per LAC (see SFR20, Table LAA1: Children looked after at 31 March, by Local Authority).  The Section 251 data encompasses the following areas of LAC expenditure: residential care; fostering services; other children looked after services; secure accommodation (welfare); short breaks (respite) for looked after disabled children; children placed with family and friends; advocacy services for LAC; education of LAC; leaving care support services; and asylum seeker services children.  We have also included half of the total cost quoted in the Section 251 return for 'Children and Young People Safety', based upon evidence that suggests that around a third of total children's social care caseload is LAC, but that LAC tend to account for a higher proportion of expenditure.  The method was chosen over other types of calculation and sources of potential headline data, as it considers expenditure across a range of different care settings for LAC, and provides an average across all the localities in England.  In practice, as demonstrated by some of the subsidiary costs below (many of which are based on particular scenarios that outline LAC with varying degrees of need), expenditure on LAC varies widely depending on the needs of the child and the local context (for example, areas with high numbers of LAC but fewer available foster care places may have a higher proportion of LAC provision in residential homes, which are considerably more expensive than foster homes).  The same approach can be used to derive data for individual localities/areas - for example, under this methodology the Greater Manchester mean cost for LAC is £40,151 (2011/12 prices).  However, note that local authority approaches to completing the Section 251 return vary, and the data for some areas are open to question - hence the amber flag allocated to this cost line.  To ensure full confidence in the robustness of data, it is recommended that local areas calculate their own unit costs from total expenditure on LAC divided by the number of LAC this expenditure relates to.",http://www.education.gov.uk/childrenandyoungpeople/strategy/financeandfunding/section251/b00202559/s251-workbooks-outturn-2010-11
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.1,"Child taken into care: low cost, for children with no additional support needs - overall annual cost, for a specific care scenario",Local Authority,Social Services,Per year," £29,580 ",2010/11," £31,418 ","Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"The source provides a number of scenarios for children with different needs/circumstances (costs for the other scenarios are also provided in this database).  This is a 'low cost' scenario, for a child with no additional support needs (the source states that 27% of the original sample used to derive the cost had no additional support needs).  The scenario on which the cost is based, as outlined in the source, is for a child placed with the same foster parents for eight years before leaving care, with reviews and an up-dated care plan every six months, and some educational/health expenditure (this is detailed in the report, but is not documented here as the focus is on cost to local authority social services).  Note that the source data covers an 87-week period; this has been adapted to develop an annual cost, using the constituent costs detailed below (see the individual entries for information on the source data and how an annual cost has been derived from them).  Note also that although detailed as a 'low cost' scenario, the total cost is higher than the equivalent 'median cost' scenario (see SS1.2).",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.1.1,"Child taken into care (low cost, for children with no additional support needs) - annual cost of care planning, for a specific care scenario",Local Authority,Social Services,Per year, £274 ,2010/11, £291 ,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"Constituent cost to the above, which represents the lowest cost of a number of scenarios presented in the source (and reproduced in this database), which cover children with a range of needs/circumstances.  The scenario on which the cost is based, as outlined in the source, is for a child placed with the same foster parents for eight years before leaving care, with reviews and an up-dated care plan every six months, and some educational/health expenditure.  The annual cost has been derived from data for an 87-week period, within which the care plan was updated three times - assumed that this will happen twice in a single year, hence cost is two-thirds of original (un-updated) figure of £412.",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.1.2,"Child taken into care (low cost, for children with no additional support needs) - annual cost of maintaining the placement, for a specific care scenario",Local Authority,Social Services,Per year," £28,080 ",2010/11," £29,824 ","Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"Constituent cost to the above, which represents the lowest cost of a number of scenarios presented in the source (and reproduced in this database), which cover children with a range of needs/circumstances.  The scenario on which the cost is based, as outlined in the source, is for a child placed with the same foster parents for eight years before leaving care, with reviews and an up-dated care plan every six months, and some educational/health expenditure.  The annual cost has been derived from data for an 87-week period, but the source states the cost per week for maintaining the placement as £540 - this has been used to derive the annual figure (the drop-off in cost after a year has been ignored for the purposes of this calculation).",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.1.3,"Child taken into care (low cost, for children with no additional support needs) - annual review costs, for a specific care scenario",Local Authority,Social Services,Per year, £945 ,2010/11," £1,004 ","Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"Constituent cost to the above, which represents the lowest cost of a number of scenarios presented in the source (and reproduced in this database), which cover children with a range of needs/circumstances.  The scenario on which the cost is based, as outlined in the source, is for a child placed with the same foster parents for eight years before leaving care, with reviews and an up-dated care plan every six months, and some educational/health expenditure.  The annual cost has been derived from data for an 87-week period, within which reviews were undertaken three times - assumed that this will happen twice in a single year, hence cost = (2x cost of one review @ £466)+(additional £13 cost incurred on first review).",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.1.4,"Child taken into care (low cost, for children with no additional support needs) - annual legal costs, for a specific care scenario",Local Authority,Social Services,Per year, £281 ,2010/11, £298 ,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"Constituent cost to the above, which represents the lowest cost of a number of scenarios presented in the source (and reproduced in this database), which cover children with a range of needs/circumstances.  The scenario on which the cost is based, as outlined in the source, is for a child placed with the same foster parents for eight years before leaving care, with reviews and an up-dated care plan every six months, and some educational/health expenditure.  The annual cost has been derived from data for an 87-week period, within which the care plan was updated three times - a weekly legal cost is quoted in the source, from which the annual figure has been derived (£5.40 x 52).",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.1.5,"Child taken into care (low cost, for children with no additional support needs) - cost of transition to leaving care, for a specific care scenario",Local Authority,Social Services,Per incident," £1,328 ",2010/11," £1,410 ","Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"Note that this a stand alone cost, and does not form one of the constituent costs to the overall annual cost quoted above.  The data represent the lowest cost of a number of scenarios presented in the source (and reproduced in this database), which cover children with a range of needs/circumstances.  The scenario on which the cost is based, as outlined in the source, is for a child placed with the same foster parents for eight years before leaving care, with reviews and an up-dated care plan every six months, and some educational/health expenditure.  Transition to leaving care is a one-off event, so has not been included in the annual cost - however, it should be incorporated if required.",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.2,"Child taken into care: median cost, for children with emotional or behavioural difficulties - overall annual cost, for a specific care scenario",Local Authority,Social Services,Per year," £27,850 ",2010/11," £29,580 ","Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"The source provides a number of scenarios for children with different needs/circumstances (costs for the other scenarios are also provided in this database).  This scenario, for children with emotional or behavioural difficulties, provides a median cost, based upon (as outlined in the source) a child placed with foster parents who subsequently changes placement to new foster parents within the same authority, with reviews and an up-dated care plan every six months, and some educational/health expenditure (this is detailed in the report, but is not documented here as the focus is on cost to local authority social services).  Note that the source data covers an 87-week period; this has been adapted to develop an annual cost, using the constituent costs detailed below (see the individual entries for information on the source data and how an annual cost has been derived from them).  Note also that although the source details this as a 'median cost', the cost of the scenario given is actually higher than the equivalent 'low cost' scenario (see SS1.1).",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.2.1,"Child taken into care (median cost, for children with emotional or behavioural difficulties) - annual cost of care planning, for a specific care scenario",Local Authority,Social Services,Per year, £274 ,2010/11, £291 ,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"Constituent cost to the above, which represents a median cost scenario, one of a number of low/high/very high cost scenarios presented in the source (and reproduced in this database), which cover children with a range of needs/circumstances.  The scenario on which the cost is based, as outlined in the source, is for a child placed with foster parents who subsequently changes placement to new foster parents within the same authority, with reviews and an up-dated care plan every six months, and some educational/health expenditure.  The annual cost has been derived from data for an 87-week period, within which the care plan was updated three times - assumed that this will happen twice in a single year, hence cost is two-thirds of original (un-updated) figure of £412.",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
SOCIAL SERVICES,LOOKED AFTER CHILDREN,SS1.2.2,"Child taken into care (median cost, for children with emotional or behavioural difficulties) - annual cost of maintaining the placement, for a specific care scenario",Local Authority,Social Services,Per year," £26,067 ",2010/11," £27,686 ","Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120",G,"Constituent cost to the above, which represents a median cost scenario, one of a number of low/high/very high cost scenarios presented in the source (and reproduced in this database), which cover children with a range of needs/circumstances.  The scenario on which the cost is based, as outlined in the source, is for a child placed with foster parents who subsequently changes placement to new foster parents within the same authority, with reviews and an up-dated care plan every six months, and some educational/health expenditure.  The annual cost has been derived from data for an 83 week period, but the source states the cost per week for maintaining the placement as £495 - this has been used to derive the annual figure (the drop-off in cost after a year has been ignored for the purposes of this calculation, but the up-front social worker cost of £327 has been included).",http://www.pssru.ac.uk/pdf/uc/uc2011/uc2011.pdf
